slope_degrees,rainfall_mm,soil_depth_m,vegetation_index,land_stability_score
88.5,589.5,3.4,0.3,52.16
29.4,655.0,3.5,0.2,68.72
26.9,825.6,1.3,0.6,96.44
35.4,597.3,4.2,0.5,76.97
67.9,748.4,4.8,0.4,89.85
33.6,662.5,4.1,0.3,88.36
74.4,728.3,4.5,0.8,82.61
45.0,938.8,4.6,0.5,115.79
25.8,622.0,4.5,0.1,68.91
60.3,696.1,3.6,0.6,95.12
44.7,661.2,4.4,0.7,94.27
55.3,329.3,3.3,0.8,63.43
46.2,599.1,1.9,0.4,59.34
63.9,342.0,4.0,0.3,48.85
81.6,718.3,3.8,0.9,88.23
66.2,821.1,4.5,0.6,96.38
38.7,575.8,4.8,0.3,81.13
55.5,978.6,1.3,0.7,92.31
26.8,768.7,1.7,0.7,92.01
76.4,513.4,2.7,0.4,49.49
