slope_degrees,rainfall_mm,soil_depth_m,vegetation_index,land_stability_score
24.1,79.2,1.1,0.6,41.82
38.3,385.8,3.8,0.4,72.04
28.3,276.6,3.3,0.5,50.72
15.5,295.4,1.5,0.8,54.64
12.1,410.0,1.5,0.5,70.43
11.9,74.1,4.0,0.3,48.87
33.3,342.0,2.7,0.5,45.12
13.7,51.6,4.7,0.6,55.59
39.3,154.1,4.4,0.6,58.09
18.4,277.3,3.0,0.3,38.23
33.8,127.2,1.3,0.5,32.61
19.8,394.4,0.6,0.1,43.87
38.1,486.2,2.7,0.7,72.45
35.8,211.4,4.9,0.2,37.42
41.2,443.8,3.7,0.5,73.16
15.2,280.7,2.7,0.6,63.55
30.9,347.1,4.1,0.1,55.66
34.7,293.4,1.3,0.4,30.39
8.0,176.5,2.5,0.5,45.88
13.5,317.3,3.8,0.2,50.4
29.6,421.5,3.4,0.2,50.02
40.7,116.2,4.2,0.4,45.25
13.4,239.7,0.9,0.6,43.24
14.1,338.0,4.3,0.5,67.9
21.4,113.6,2.8,0.3,21.36
